_id,borrowDate,dueDate,recordType,returned,returnedDate,bookId,userId,expirationDate
6512ec99f8748166c50a19d7B0002005018,2023-10-11T13:04:37.196Z,2023-11-01T13:04:37.196Z,borrowedBook,true,2023-10-11T13:37:28.702Z,0002005018,6512ec99f8748166c50a19d7,
6512ec99f8748166c50a19d7B0002244705,2023-10-05T11:58:37.130Z,2023-10-26T11:58:37.130Z,borrowedBook,true,2023-10-11T13:37:36.558Z,0002244705,6512ec99f8748166c50a19d7,
6512ec99f8748166c50a19d7B0002558661,2023-10-08T17:31:12.880Z,2023-10-29T17:31:12.880Z,borrowedBook,true,2023-10-08T17:33:25.428Z,0002558661,6512ec99f8748166c50a19d7,
6512ec99f8748166c50a19d7B031230997X,2021-05-31T15:15:42.762Z,2021-06-21T15:15:42.762Z,borrowedBook,true,2021-06-14T00:14:18.846Z,031230997X,6512ec99f8748166c50a19d7,
6512ec99f8748166c50a19d7B1578567785,2023-09-05T18:13:06.610Z,2023-09-26T18:13:06.610Z,borrowedBook,true,2023-09-25T06:08:53.705Z,1578567785,6512ec99f8748166c50a19d7,
6512ecc55dbe2c636bfd6679B0060975229,2023-06-26T02:15:36.185Z,2023-07-17T02:15:36.185Z,borrowedBook,true,2023-07-05T20:32:41.519Z,0060975229,6512ecc55dbe2c636bfd6679,
6512ecc55dbe2c636bfd6679B0393310809,2021-11-15T11:00:01.899Z,2021-12-06T11:00:01.899Z,borrowedBook,true,2021-11-19T09:44:04.612Z,0393310809,6512ecc55dbe2c636bfd6679,
6512ecc55dbe2c636bfd6679B0525936815,2023-06-26T02:15:36.185Z,2023-07-17T02:15:36.185Z,borrowedBook,true,2023-07-05T20:32:41.519Z,0525936815,6512ecc55dbe2c636bfd6679,
651339a1e861a18709467293B0786883197,2022-03-21T19:06:25.049Z,2022-04-11T19:06:25.049Z,borrowedBook,true,2022-03-31T15:37:03.755Z,0786883197,651339a1e861a18709467293,
65133aa0e861a18709467294B0596003137,2022-05-08T09:45:45.338Z,2022-05-29T09:45:45.338Z,borrowedBook,true,2022-05-23T19:37:13.551Z,0596003137,65133aa0e861a18709467294,
65133aa0e861a18709467294B0740723367,2021-01-02T03:33:24.905Z,2021-01-23T03:33:24.905Z,borrowedBook,true,2021-01-08T08:06:55.335Z,0740723367,65133aa0e861a18709467294,
65133aa8e861a18709467295B0440220874,2023-05-29T09:31:22.845Z,2023-06-19T09:31:22.845Z,borrowedBook,true,2023-05-30T14:55:11.017Z,0440220874,65133aa8e861a18709467295,
